date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1902-03-22,Ireland,England,0,1,0,1,1335.50029674532,1650.2959543581746
1902-04-05,Scotland,England,1,1,0,1,1640.3093504569083,1653.8725783943266
1902-05-03,England,Scotland,2,2,0,1,1654.9174850207091,1639.2644438305258
1903-02-14,England,Ireland,4,0,0,1,1653.0500135266034,1331.923672709168
1903-03-02,England,Wales,2,1,0,1,1655.1622398006639,1373.8943984395971
1903-03-09,Wales,Scotland,0,1,0,1,1371.3078777802634,1641.1319153246316
1903-03-21,Scotland,Ireland,0,2,0,1,1645.532799106047,1329.8114464351074
1903-03-28,Ireland,Wales,2,0,0,1,1347.6397164784541,1366.906993998848
1903-04-04,England,Scotland,1,2,0,1,1657.7487604599976,1627.7045290627002
1904-02-29,Wales,England,2,2,0,1,1357.789252994408,1645.4848161912755
1904-03-12,Scotland,Wales,1,1,0,1,1639.9684733314223,1363.731313664822
1904-03-12,Ireland,England,1,3,0,1,1356.7574574828943,1639.5427555208614
1904-03-21,Wales,Ireland,0,1,0,1,1371.0788740332875,1352.6073217386802
1904-03-26,Ireland,Scotland,1,1,0,1,1364.5529672252644,1632.6209129629567
1904-04-09,Scotland,England,0,1,0,1,1627.0565935931522,1643.6928912650756
1905-02-25,England,Ireland,1,1,0,1,1654.6502349145449,1370.117286595069
1905-03-06,Wales,Scotland,3,1,0,1,1359.1332285467033,1616.099249943683
1905-03-18,Scotland,Ireland,4,0,0,1,1600.7594506703813,1377.5727995457225
1905-03-27,England,Wales,3,1,0,1,1647.1947219638912,1374.473027820005
1905-04-01,England,Scotland,1,0,0,1,1649.8940665103544,1604.196403756758
1905-04-08,Ireland,Wales,2,2,0,1,1374.1358464593459,1371.7736832735418
1905-08-15,Argentina,Uruguay,0,0,0,1,1500.0,1500.0
1906-02-17,Ireland,England,0,5,0,1,1372.6400501312646,1657.2072717022324
1906-03-03,Scotland,Wales,0,2,0,1,1596.8831985648799,1373.269479601623
1906-03-17,Ireland,Scotland,0,1,0,1,1368.52354987769,1580.3131598999978
1906-03-19,Wales,England,0,1,0,1,1389.8395182665051,1661.3237719558072
1906-04-02,Wales,Ireland,4,4,0,1,1385.4713509608653,1362.8704743584794
1906-04-07,Scotland,England,2,1,0,1,1585.9662354192083,1665.691939261447
1906-08-15,Uruguay,Argentina,0,2,0,1,1501.4292623481676,1498.5707376518324
1906-10-21,Argentina,Uruguay,2,1,0,1,1510.0804977734979,1489.9195022265021
1907-02-16,England,Ireland,1,0,0,1,1654.8384462590968,1364.930203004647
1907-02-23,Ireland,Wales,2,3,0,1,1362.4536434863317,1383.4116223146978
1907-03-04,Wales,Scotland,1,0,0,1,1394.2455774360324,1596.8197284215585
1907-03-16,Scotland,Ireland,3,0,0,1,1582.6903843104296,1351.619688364997
1907-03-18,England,Wales,1,1,0,1,1657.3150057774121,1408.3749215471612
1907-04-06,England,Scotland,1,1,0,1,1650.3502722919084,1586.0000765080893
1907-08-15,Argentina,Uruguay,2,1,0,1,1518.0881115488557,1481.9118884511443
1907-10-06,Uruguay,Argentina,1,2,0,1,1474.3425959327576,1525.6574040672424
