club_id,club,league_id,league,season,wins,draws,losses,pts,avg_xG,total_goals,total_goals_cond
170,Nice,5,Ligue 1,2015,18,9,11,63,1.190297947368421,58,41
171,Monaco,5,Ligue 1,2015,17,14,7,65,1.5296998684210525,57,50
172,Troyes,5,Ligue 1,2015,3,9,26,18,0.9628736578947369,28,83
173,GFC Ajaccio,5,Ligue 1,2015,8,13,17,37,0.8558246421052632,37,58
174,Toulouse,5,Ligue 1,2015,9,13,16,40,1.324525,45,55
175,Saint-Etienne,5,Ligue 1,2015,17,7,14,58,1.1964060789473685,42,37
176,Bordeaux,5,Ligue 1,2015,12,14,12,50,1.2200618684210525,50,57
177,Reims,5,Ligue 1,2015,10,9,19,39,1.1281447894736842,44,57
178,Lyon,5,Ligue 1,2015,19,8,11,65,1.6581097631578947,67,43
179,Lorient,5,Ligue 1,2015,11,13,14,46,1.1134543157894736,47,58
183,Spartak Moscow,6,RFPL,2015,15,5,10,50,1.5731481666666667,48,39
184,FC Ufa,6,RFPL,2015,6,9,15,27,0.7136393000000001,25,44
185,CSKA Moscow,6,RFPL,2015,20,5,5,65,1.6488850333333334,51,25
186,Rubin Kazan,6,RFPL,2015,9,6,15,33,1.2281949333333333,33,39
187,FC Rostov,6,RFPL,2015,19,6,5,63,1.2409519,41,20
188,FK Akhmat,6,RFPL,2015,11,11,8,44,1.0134215333333334,35,30
189,Zenit St. Petersburg,6,RFPL,2015,17,8,5,59,1.9098223333333335,61,32
190,Dinamo Moscow,6,RFPL,2015,5,10,15,25,0.9883061000000001,25,47
191,Mordovya,6,RFPL,2015,4,12,14,24,1.0406097666666667,30,50
192,Lokomotiv Moscow,6,RFPL,2015,14,8,8,50,1.3146072,43,33
193,Anzhi Makhachkala,6,RFPL,2015,6,8,16,26,0.9583716333333333,28,50
194,Krylya Sovetov Samara,6,RFPL,2015,9,8,13,35,0.9199414333333333,19,31
195,Amkar,6,RFPL,2015,7,10,13,31,0.7891735000000001,22,33
196,FC Krasnodar,6,RFPL,2015,16,8,6,56,1.3940909,54,25
197,Kuban Krasnodar,6,RFPL,2015,5,11,14,26,0.976634306,34,44
198,Ural,6,RFPL,2015,10,9,11,39,1.0274091,39,46
72,Everton,1,EPL,2016,17,10,11,61,1.3061172131578946,62,44
73,Bournemouth,1,EPL,2016,12,10,16,46,1.3162140526315789,55,67
74,Southampton,1,EPL,2016,12,10,16,46,1.3153716184210527,41,48
75,Leicester,1,EPL,2016,12,8,18,44,1.1668640263157897,48,63
76,West Bromwich Albion,1,EPL,2016,12,9,17,45,1.0056215263157895,43,51
77,Sunderland,1,EPL,2016,6,6,26,24,0.9006231578947369,29,69
78,Crystal Palace,1,EPL,2016,12,5,21,41,1.194807105263158,50,63
80,Chelsea,1,EPL,2016,30,3,5,93,1.6262338684210527,85,33
81,West Ham,1,EPL,2016,12,9,17,45,1.2696198947368422,47,64
82,Tottenham,1,EPL,2016,26,8,4,86,1.843841552631579,86,26
83,Arsenal,1,EPL,2016,23,6,9,75,1.6731909736842105,77,44
84,Swansea,1,EPL,2016,12,5,21,41,1.039461655263158,45,70
85,Stoke,1,EPL,2016,11,11,16,44,1.2598426842105261,41,56
87,Liverpool,1,EPL,2016,22,10,6,76,1.7534883684210527,78,42
88,Manchester City,1,EPL,2016,23,9,6,78,2.1013536315789474,80,39
89,Manchester United,1,EPL,2016,18,15,5,69,1.5150357631578948,54,29
90,Watford,1,EPL,2016,11,7,20,40,0.9540673131578948,40,68
91,Hull,1,EPL,2016,9,7,22,34,0.890512947368421,37,80
92,Burnley,1,EPL,2016,11,7,20,40,0.9366245789473685,39,55
93,Middlesbrough,1,EPL,2016,5,13,20,28,0.8139506921052632,27,53
95,Roma,2,Serie A,2016,28,3,7,87,2.1841190789473686,90,38
96,Lazio,2,Serie A,2016,21,7,10,70,1.7206953684210529,74,51
97,Bologna,2,Serie A,2016,11,8,19,41,0.9608189736842107,40,58
98,Juventus,2,Serie A,2016,29,4,5,91,1.8088474736842106,77,27
99,Udinese,2,Serie A,2016,12,9,17,45,1.1825547368421052,47,56
100,Palermo,2,Serie A,2016,6,8,24,26,0.7609279210526316,33,77
101,Genoa,2,Serie A,2016,9,9,20,36,1.1893811842105264,38,64
102,Sampdoria,2,Serie A,2016,12,12,14,48,1.2151294736842104,49,55
104,Sassuolo,2,Serie A,2016,14,7,17,49,1.3307678947368422,60,61
105,Napoli,2,Serie A,2016,26,8,4,86,2.0397906842105265,94,39
106,Inter,2,Serie A,2016,19,5,14,62,1.8094861315789474,72,49
107,Atalanta,2,Serie A,2016,21,9,8,72,1.6156111052631579,62,41
108,Empoli,2,Serie A,2016,8,8,22,32,0.9234500421052632,29,61
109,Chievo,2,Serie A,2016,12,7,19,43,1.1247291052631578,43,61
110,Fiorentina,2,Serie A,2016,16,12,10,60,1.450993552631579,63,57
111,AC Milan,2,Serie A,2016,18,9,11,63,1.5703347894736843,57,45
113,Torino,2,Serie A,2016,13,14,11,53,1.5104470263157896,71,66
114,Pescara,2,Serie A,2016,2,9,27,15,1.1347901578947368,35,83
115,Crotone,2,Serie A,2016,9,7,22,34,0.8991740789473684,34,58
116,Cagliari,2,Serie A,2016,14,5,19,47,1.1164460552631579,55,76
117,Bayern Munich,3,Bundesliga,2016,25,7,2,82,2.1737820294117647,89,22
118,Hamburger SV,3,Bundesliga,2016,10,8,16,38,0.9386474411764706,33,61
119,Bayer Leverkusen,3,Bundesliga,2016,11,8,15,41,1.561888705882353,53,55
120,Hoffenheim,3,Bundesliga,2016,16,14,4,62,1.6030554117647058,64,37
121,Augsburg,3,Bundesliga,2016,9,11,14,38,0.9965514705882353,35,51
122,Hertha Berlin,3,Bundesliga,2016,15,4,15,49,1.1220637352941178,43,47
123,Werder Bremen,3,Bundesliga,2016,13,6,15,45,1.2644917647058822,61,64
124,Schalke 04,3,Bundesliga,2016,11,10,13,43,1.3193424705882353,45,40
125,Mainz 05,3,Bundesliga,2016,10,7,17,37,1.2459861764705882,44,55
126,Ingolstadt,3,Bundesliga,2016,8,8,18,32,1.3091441764705882,36,57
127,Darmstadt,3,Bundesliga,2016,7,4,23,25,0.9972595000000001,28,63
129,Borussia Dortmund,3,Bundesliga,2016,18,10,6,64,2.2031900588235294,72,40
130,Borussia M.Gladbach,3,Bundesliga,2016,12,9,13,45,1.3476986764705883,45,49
131,Wolfsburg,3,Bundesliga,2016,10,7,17,37,1.3078234999999998,34,52
132,Eintracht Frankfurt,3,Bundesliga,2016,11,9,14,42,1.2820747352941178,36,43
134,FC Cologne,3,Bundesliga,2016,12,13,9,49,1.3333977647058823,51,42
135,Freiburg,3,Bundesliga,2016,14,6,14,48,1.1591485294117647,42,60
136,RasenBallsport Leipzig,3,Bundesliga,2016,20,7,7,67,1.6203448911764706,66,39
137,Malaga,4,La liga,2016,12,10,16,46,1.062350894736842,49,55
